endTime,artistName,trackName,msPlayed
2023-05-12 12:38,Emilia,como si no importara,173062
2023-05-12 0:42,Maria Becerra,DOBLE VIDA,181846
2023-05-12 0:43,Duki,Celosa,83276
2023-05-12 23:34,ANTES QUE NADIE,ABRO HILO,3103323
2023-05-13 20:33,Duki,aPoLLo13,2926
2023-05-13 20:33,Miranda!,Perfecta (Versión 2023),1488
2023-05-13 20:33,BM,M.A - Remix,5580
2023-05-13 20:33,Emilia,No_se_ve.mp3,10915
2023-05-13 20:33,The La Planta,DISCOTEKA (feat. Locura Mix),5759
2023-05-13 20:36,Big One,Un Finde | CROSSOVER #2,162511
2023-05-13 20:36,Yng Lvcas,La Bebe - Remix,13041
2023-05-13 20:39,La Joaqui,Cachorro,175921
2023-05-13 20:40,WOS,DESCARTABLE,4273
2023-05-13 20:40,Feid,Mxfix G5,14583
2023-05-13 20:40,Nicki Nicole,qué le pasa conmigo?,36001
2023-05-13 20:40,LOUTA,VENENO,3576
2023-05-13 20:40,Yami Safdie,De Nada - Remix,1765
2023-05-13 20:40,Rei,A llorar a otra parte,2322
2023-05-13 20:40,Emilia,Jagger.mp3,5016
2023-05-13 20:41,Mesita,Dale Mecha,4092
2023-05-13 20:42,Morad,Paz,91140
2023-05-13 20:46,KHEA,PARA AMARTE A TI,215170
2023-05-13 20:49,Tiago PZK,Que Se Parezca A Ti,184522
2023-05-13 20:50,Tiago PZK,Que Se Parezca A Ti,47274
2023-05-13 22:07,Ivo Rubio,Go,2325
2023-05-13 22:07,Ivo Rubio,I Told You,8597
2023-05-14 14:43,Emilia,No_se_ve.mp3,938
2023-05-14 14:47,Emilia,No_se_ve.mp3,203006
2023-05-14 14:51,KHEA,PARA AMARTE A TI,215164
2023-05-14 14:54,Tiago PZK,Que Se Parezca A Ti,184520
2023-05-14 14:56,Anuel AA,Mejor Que Yo,142193
2023-05-14 14:59,Emilia,Jagger.mp3,155873
2023-05-14 15:01,Nico Valdi,Nico Valdi produciendo a Juli Martorell,164860
2023-05-14 15:04,Duki,aPoLLo13,160555
2023-05-14 15:05,Jhayco,Mami Chula,88701
2023-05-14 15:08,Tiago PZK,Me Olvidé,163413
2023-05-14 15:11,Emilia,cielo en la mente,169584
2023-05-14 15:14,Maria Becerra,ADIÓS,160866
2023-05-14 15:17,MYA,MYA LIVE P1: Chanel de Coco,209738
2023-05-14 15:20,Yami Safdie,De Nada - Remix,179267
2023-05-14 15:23,Sen Senra,Uno De Eses Gatos,165358
2023-05-14 15:25,Emilia,Underground,149481
2023-05-14 15:28,TINI,Te Pido,174906
2023-05-14 15:31,Tiago PZK,Slow,135471
2023-05-14 15:33,Luck Ra,Quiero Creer,145066
2023-05-14 15:36,Big One,En La Intimidad | CROSSOVER #1,165862
2023-05-14 15:39,Emilia,mi otra mitad,166723
2023-05-14 15:41,Maria Becerra,Hipnotiza',150012
2023-05-14 15:44,Natalie Perez,TQT,151423
2023-05-14 15:47,Miranda!,Uno los Dos,215260
2023-05-14 15:50,Tiago PZK,Muy Mal,146488
2023-05-14 15:52,Emilia,De Enero a Diciembre,164298
2023-05-14 15:56,ROSALÍA,BESO,194557
2023-05-14 15:59,Maria Becerra,Wow Wow (feat. Becky G),199787
2023-05-14 16:01,Paula Cendejas,Selena,124328
2023-05-14 16:04,TINI,Cupido,174379
2023-05-14 16:06,Emilia,No Más,152640
2023-05-14 16:10,Miranda!,Perfecta (Versión 2023),221068
2023-05-14 16:13,MYA,BIKINI,182392
2023-05-14 16:16,Maria Becerra,DESAFIANDO EL DESTINO,192717
2023-05-14 16:20,CNCO,La Última Canción,195799
2023-05-14 16:22,Emilia,la balada,165971
2023-05-14 16:25,TINI,Las Jordans,144805
2023-05-14 16:28,Vicco,Todo Me Da Igual,192009
2023-05-14 16:31,Alan Gomez,Micro TDH | Mission 14,148629
2023-05-14 16:33,Maria Becerra,LA NENA DE ARGENTINA,151998
2023-05-14 16:36,Emilia,cuatro veinte - Emilia en Vivo,150947
2023-05-14 16:39,Miranda!,Enamorada,188516
2023-05-14 16:40,MYA,Nunca Soltamos,107322
2023-05-14 17:05,Shakira,Acróstico,170789
2023-05-14 17:08,Grupo Frontera,un x100to,194567
2023-05-14 17:12,Marshmello,El Merengue,189680
2023-05-14 17:15,ROSALÍA,BESO,194559
2023-05-14 17:18,Danna Paola,1Trago,201120
2023-05-14 17:22,Bad Bunny,Ojitos Lindos,258309
2023-05-14 17:25,KAROL G,MIENTRAS ME CURO DEL CORA,164399
2023-05-14 17:29,Sebastian Yatra,VAGABUNDO,215608
2023-05-14 17:32,Marc Seguí,Tiroteo - Remix,34547
2023-05-14 17:32,Becky G,Arranca (feat. Omega),166533
2023-05-14 20:14,Big One,Un Finde | CROSSOVER #2,162500
2023-05-14 20:20,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,355037
2023-05-14 20:20,Lolo OG,Azote - Remix,2159
2023-05-14 20:22,Taiu,Rara Vez,128677
2023-05-14 20:26,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945
2023-05-14 20:29,ECKO,Te Escapas De Mis Brazos (Remix),217826
2023-05-14 20:33,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",131445
2023-05-15 22:38,ANTES QUE NADIE,¿ES NORMAL?,3132250
2023-05-16 23:13,ANTES QUE NADIE,VECES QUE ME DESCONOCÍ,2976060
2023-05-16 23:23,ANTES QUE NADIE,VECES QUE ME DESCONOCÍ,540184
2023-05-17 22:21,KHEA,PARA AMARTE A TI,215165
2023-05-17 22:24,Tiago PZK,Que Se Parezca A Ti,184519
2023-05-17 22:27,Emilia,Jagger.mp3,155873
2023-05-17 22:30,TINI,Te Pido,174901
2023-05-17 22:32,Nico Valdi,Nico Valdi produciendo a Juli Martorell,164867
2023-05-17 22:35,KHEA,ECLIPSE,153846
2023-05-17 22:38,ROSALÍA,BESO,194557
2023-05-17 22:41,Tiago PZK,Me Olvidé,163415
2023-05-17 22:45,Miranda!,Uno los Dos,215257
2023-05-17 22:47,Maria Becerra,Perdidamente,153332
2023-05-17 22:49,Rels B,cómo dormiste?,112574
2023-05-17 22:52,KHEA,Te Necesito,197964
2023-05-17 22:55,Emilia,la balada,165965
2023-05-17 22:57,Tiago PZK,Bemaste,144431
2023-05-17 23:00,Luck Ra,Ya No Vuelvas,144501
2023-05-17 23:02,Taiu,Rara Vez,128686
2023-05-17 23:04,Rels B,No Sabe Igual,136069
2023-05-17 23:08,Maria Becerra,DESAFIANDO EL DESTINO,192718
2023-05-17 23:11,Milo j,Domingo,190583
2023-05-17 23:13,Tiago PZK,Hablando De Love,156093
2023-05-17 23:16,Emilia,mi otra mitad,166720
2023-05-17 23:19,Quevedo,PUNTO G,151337
2023-05-17 23:22,Rels B,La Última Canción,184755
2023-05-17 23:24,Maria Becerra,ADIÓS,160870
2023-05-17 23:27,Yami Safdie,De Nada,136958
2023-05-17 23:29,Tiago PZK,Sabor A Miel,171142
2023-05-17 23:32,Milo j,Morocha,130635
2023-05-17 23:34,Nicki Nicole,qué le pasa conmigo?,167260
